data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,genus_species,limit_type
Piero,Camponotus,americanus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,1,https://web.archive.org/web/20110717084509/http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Camponotus.americanus.htm,maximum total length,omnivore,"Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press",non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Camponotus_americanus,max
Piero,Camponotus,castaneus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,1.1,AntWiki,total length (male),omnivore,"Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press",non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Camponotus_castaneus,max
Piero,Camponotus,chromaiodes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,1,AntWiki,total length (male),omnivore,"Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press",non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Camponotus_chromaiodes,max
Piero,Camponotus,novaeboracensis,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.8,AntWiki,total length (male),omnivore,"Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press",non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Camponotus_novaeboracensis,max
Piero,Camponotus,pennsylvanicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.88,Gripshover et al. (2018) Annals of the Entomological Society of America 111(6): 319-325,total length ,omnivore,"Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press",non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Camponotus_pennsylvanicus,max
Piero,Crematogaster,lineolata,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,omnivore,Ayre (1963) The Canadian Entomologist 95(7): 712-715,non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Crematogaster_lineolata,max
Piero,Formica,neogagates,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.35,"Ellison et al. (2012) A field guide to the ants of New England. Yale University Press, New Haven",body length,omnivore,MacKay (1993) Sociobiology 23: 1-1 - scavenger,non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Formica_neogagates,max
Piero,Formica,obscuripes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.6,"Headings (2008)  Western Thatching Ant, Formica obscuripes (Forel) (Hymenoptera: Formicidae). In: Capinera J.L. (eds) Encyclopedia of Entomology. Springer, Dordrecht. https://doi.org/10.1007/978-1-4020-6359-6_2648",minimum adult worker length,omnivore,Tilman (1978) Ecology 59(4): 686-692 - scavenger,non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Formica_obscuripes,max
Piero,Linepithema,humile,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.3,ADW,typical worker length,omnivore,Abril et al. (2007) Environmental Entomology 36(5): 1166-1173 - scavenger,N,ant,0-1,"Passera, L., & Keller, L. (1994). Mate availability and male dispersal in the Argentine ant Linepithema humile (Mayr)(= Iridomyrmex humilis). Animal Behaviour, 48(2), 361-369.",walking,ant,N,"Diaz Buitrago, M. (2013). Ecological and Biological strategies taken by the argentine Ant, Linepithema humile (Mayr, 1868), in cold seasons. Effects of winter nests management in natural invaded areas.",lack of hibernation in areas where invasive,N,no info - based on climate,,N,no info suggests highland specialist,NA,terrestrial,NA,Linepithema_humile,"max, min"
Piero,Myrmecocystus,mimicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,worker length,omnivore,Schooley and Bestelmeyer (1999) The American Midland Naturalist 144(2):439-444,N,ant,0-1,"Hölldobler, B. (1981). Foraging and spatiotemporal territories in the honey ant Myrmecocystus mimicus Wheeler (Hymenoptera: Formicidae). Behavioral ecology and sociobiology, 9(4), 301-314.",walking,ant,Y,"Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908",based on other species in genus,N,no info - based on climate,,N,no info suggests highland specialist,NA,terrestrial,NA,Myrmecocystus_mimicus,"max, min"
Piero,Pogonomyrmex,barbatus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,1,AntWiki,total length,omnivore,Pink and Lopez de Casenave (2005) Insectes Sociaux 53: 119-125 - genus eat seeds and also insects,non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pogonomyrmex_barbatus,max
Piero,Pogonomyrmex,californicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,omnivore,Pink and Lopez de Casenave (2005) Insectes Sociaux 53: 119-125 - genus eat seeds and also insects,non-migratory,ant,NA,NA,walking,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pogonomyrmex_californicus,max
Piero,Pogonomyrmex,rugosus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.9,Davidson (1977) Ecology 58: 711-724,total length of workers,omnivore,Pink and Lopez de Casenave (2005) Insectes Sociaux 53: 119-125 - genus eat seeds and also insects,non-migratory,ant,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pogonomyrmex_rugosus,max
Piero,Proceratium,silaceum,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.405,AntWiki,maximum total length (Queen),omnivore,"guess based on others in genus - (Brown, W. L. (1979). A remarkable new species of Proceratium, with dietary and other notes on the genus (Hymenoptera: Formicidae). Psyche, 86(4), 337-346.)",non-migratory,ant,NA,NA,NA,NA,NA,no evidence for brumation,,NA,NA,,NA,NA,NA,terrestrial,NA,Proceratium_silaceum,max
Susana,Tetramorium,caespitum,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.2,Katayama and Suzuki (2003) Applied Entomology and Zoology 38: 427-433,Body size is total length in mm,omnivore,Brian et al. (1967) Journal of Animal Ecology 36: 337-342,non-migratory,ant,NA,NA,Walking,NA,NA,"*induced cold diapause in lab, Kipyatkov&Lopatina 2001 entomological review (abstract)",,NA,NA,,No,Brian (1979) Journal of Animal Ecology 48: 943-953,NA,terrestrial,NA,Tetramorium_caespitum,max
Susana,Trachymyrmex,septentrionalis,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,0.45,Wheeler (1911) Journal of the New York Entomological Society 19: 245-255,Body size is total length in mm,fungivore,Weber (1956) Ecology 37: 150-161,non-migratory,ant,0-1km,"<500m/year for Trachymyrmex septentrionalis, Mikheyev et al 2008 17:4480-4488; ant sub-family Myrmicinae: range of dispersal distances: 0-20m (Gomez & Espadaler 1998 J of Biogeog 25:573-580)",Walking,NA,Y,Bershers & Traniello 1994 Ecology 75:763-775.,,NA,NA,,No,Bershers and Traniello (1994) Ecology 75: 763-775,NA,terrestrial,NA,Trachymyrmex_septentrionalis,max
Micky,Acris,crepitans,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,insectivore,"Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.",Y,AmphibiaWeb,1--10,"Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.",walking,"Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.",Y,"Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ä‰åä‹¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.",,NA,NA,,non-highland specialist,"Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343",NA,terrestrial,AmphibiaWeb,Acris_crepitans,min
Micky,Adelotus,brevis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).  A Field Guide to Australian Frogs.  Surrey Beatty and Sons, New South Wales.",NA,insectivore,"Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51",NA,NA,NA,NA,walking,"Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51",NA,NA,,NA,NA,,non-highland specialist,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,terrestrial,NA,Adelotus_brevis,max
Micky,Anaxyrus,compactilis,Bufonidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,8.9,"Dickerson, M.C. (1906). The Frog Book. Doubleday Page,New York",body length,insectivore,"Brennan, T.C., & Holycross, A.T. 2006. A Field Guide to the Amphibians and Reptiles in Arizona. Arizona Game and Fish Department. Phoenix, AZ.",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,highland specialist,"Quintero, Víçzquez y Sigala 2008 Anfibios. La Biodiversidad en Aguascalientes: Estudio de Estado. 2008. Comisií_n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO), Instituto del Medio Ambiente del Estado de Aguascalientes (IMAE), Universidad Autí_no-ma de Aguascalientes (UAA). Mí©xico",NA,terrestrial,NA,Anaxyrus_compactilis,max
Micky,Craugastor,fitzingeri,Eleutherodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.25,"Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.",NA,insectivore,"Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.  ",Y,"Solí_s, F., Ibíçí±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & Bolaí±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.",0-1,"Fitch, H. S. 1956. A ¥å�eld study of the Kansas ant-eating frog Gastrophryne olivacea . / Univ. Kans. Publ. Mus. Nat. Hist. 8: 275 /307",walking,"Solí_s, F., Ibíçí±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & Bolaí±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.",NA,NA,,NA,NA,,highland specialist,"Solí_s, F., Ibíçí±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & Bolaí±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.",NA,terrestrial,NA,Craugastor_fitzingeri,min
Micky,Craugastor,fleischmanni,Craugastoridae,Terrestrial,Animalia,Chordata,Amphibia,Anura,NA,NA,NA,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,N,"no info - based on climate (tropical, Costa Rica)",,N,no info - based on climate,,highland specialist,"Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.",NA,terrestrial,NA,Craugastor_fleischmanni,"max, min"
Micky,Crinia,signifera,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.  ",NA,insectivore,"Cogger, H.G. 1979. Reptiles & Amphibians of Australia. A. H. & A. W. REED PTY LTD ISBN 0-589-50108-9",Y,"Lemckert, Francis. ""Population structure, individual growth and survival of an Australian frog Crinia signifera at a pond."" Acta Zoologica Sinica 51 (2005): 393-400.",NA,NA,walking,"Lemckert, Francis. ""Population structure, individual growth and survival of an Australian frog Crinia signifera at a pond."" Acta Zoologica Sinica 51 (2005): 393-400.",NA,NA,,NA,NA,,non-highland specialist,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,terrestrial,NA,Crinia_signifera,max
Micky,Dendrobates,auratus,Dendrobatidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,4.2,"Leenders, T. (2001).  A Guide to Amphibians And Reptiles of Costa Rica.  Zona Tropical, Miami.",max standard length,insectivore,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  ",N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  ",N,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  ",,N,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  ",,non-highland specialist,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  ",NA,terrestrial,NA,Dendrobates_auratus,"max, min"
Micky,Eleutherodactylus,coqui,Eleutherodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.2,"Schwartz, A. and R.W. Henderson. 1991. Amphibians and Reptiles of the West Indies Descriptions, Distributions, and Natural History. University of Florida Press, Gainesville, Florida.",max adult SVL,insectivore,"Douglas P. Reagan and Robert B. Waide, ed. (1996). The Food Web of a Tropical Rain Forest. University Of Chicago Press.",N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,"Hobel, G. 1999. Notes on the natural history and habitat use of Eleutherodactylus ¥å�tzingeri (Anura: Leptodactylidae). Amphib.-Reptilia 20: 65 -72.",walking,"Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",Y,"Beachy, J. R., Neville, R., Arnott, C., Veitch, C. R., Clout, M. N., & Towns, D. R. (2011). Successful control of an incipient invasive amphibian: Eleutherodactylus coqui on O’ahu, Hawai’i. Island invasives: eradication and management, 140-147.",inactive during winter,N,no info - based on climate,,non-highland specialist,"Hedges, B., Joglar, R., Thomas, R., Powell, R. & Rios-Lí_pez, N. (2009) Eleutherodactylus coqui. In: IUCN 2012. IUCN Red List of Threatened Species. Version 2012.2.",NA,terrestrial,NA,Eleutherodactylus_coqui,"max, min"
Micky,Engystomops,pustulosus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.46,"Ryan, M.J. (1985). The Tí_ngara Frog: A Study in Sexual Selection and Communication. University of Chicago Press, Chicago.  ",NA,insectivore,Atencia et al. (2020) Russian Journal of Herpetology 27(3): 156-164,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Engystomops_pustulosus,min
Micky,Hyalinobatrachium,fleischmanni,Centrolenidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.2,"Guyer, C., and Donnelly, M. A. (2005).  Amphibians and Reptiles of La Selva, Costa Rica and the Caribbean Slope: A Comprehensive Guide.  University of California Press, Berkeley.  ",NA,insectivore,Luria Manzano and Ramirez-Bautista (2019) Acta Oecologica 98: 36-44,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Hyalinobatrachium_fleischmanni,min
Micky,Leptodactylus,pentadactylus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,13.31,"Heyer, W. R., de Síç, R. y Rettig, A. 2005. Sibling Species, Advertisment Calls and Reproductive Isolation, in Frogs of the  Leptodactylus pentadactylus  Species Cluster (Amphibia, Leptodactylidae). Herpetologia Petropolitana, Ananjeva N. and Tsinenko O. (eds.) 35-39",NA,insectivore,Caldwell and Vitt (1999) Oikos 84: 383-397,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Leptodactylus_pentadactylus,min
Micky,Limnodynastes,dorsalis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,7.5,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Limnodynastes_dorsalis,max
Micky,Limnodynastes,fletcheri,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.  ",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Limnodynastes_fletcheri,max
Micky,Limnodynastes,tasmaniensis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,4.5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.  ",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Limnodynastes_tasmaniensis,max
Micky,Litoria,gracilenta,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Litoria_gracilenta,max
Micky,Neobatrachus,pictus,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.8,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Neobatrachus_pictus,max
Micky,Philoria,frosti,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.16,http://www.edgeofexistence.org/amphibians/species_info.php?id=570,max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Philoria_frosti,max
Micky,Philoria,loveridgei,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Philoria_loveridgei,max
Micky,Pseudacris,cadaverina,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.6,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,"Phillipsen, I. C., & Metcalf, A. E. (2009). Phylogeography of a stream-dwelling frog (Pseudacris cadaverina) in southern California. Molecular Phylogenetics and Evolution, 53(1), 152-170.",walking,frog,Y,"Harris, R. T. (1975). Seasonal activity and microhabitat utilization in Hyla cadaverina (Anura: Hylidae). Herpetologica, 236-239.",hibernates,N,no info - based on climate,,non-highland specialist,no info suggests highland specialist,NA,terrestrial,NA,Pseudacris_cadaverina,"max, min"
Micky,Pseudacris,regilla,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.78,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,"no info - based on congeners (Alex Smith, M., & M. Green, D. (2005). Dispersal and the metapopulation paradigm in amphibian ecology and conservation: are all amphibian populations metapopulations?. Ecography, 28(1), 110-128.)",walking,frog,Y,"Norris, T., & Sells, S. (2004). Pacific chorus frog: Pseudacris regilla.",hibernates,N,no info - based on climate,,non-highland specialist,no info suggests highland specialist,NA,terrestrial,NA,Pseudacris_regilla,"max, min"
Micky,Pseudacris,triseriata,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,4,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,0-1,"Kramer, D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60 - J. Herpetol. 7: 231 -235.",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pseudacris_triseriata,max
Micky,Pseudophryne,corroboree,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,2.67,"Vences, M., Glaw, F. and Bohme, W. 1997. Evolutionary correlates of microphagy in alkaloid-containing frogs (Amphibia:Anura)",SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pseudophryne_corroboree,max
Micky,Pseudophryne,dendyi,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.2,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Pseudophryne_dendyi,max
Micky,Rana,cascadae,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,7.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,1-10,"Fellers, G. M., Pope, K. L., Stead, J. E., Koo, M. S., & Welsh, H. H. (2007). Turning population trend monitoring into active conservation: can we save the Cascades Frog (Rana cascadae) in the Lassen region of California?. Herpetological Conservation and Biology 3 (1): 28-39.",walking,frog,Y,"Briggs, J. L. (1987). Breeding biology of the Cascade frog, Rana cascadae, with comparisons to R. aurora and R. pretiosa. Copeia, 1987(1), 241-245.",hibernates,N,"Song, S. Assessing the Impact of Climate and Snowpack on the Distribution of Amphibian Species in Sierra Nevada.",no aestivation,non-highland specialist,AmphibiaWeb - moderate and high elevation,NA,terrestrial,NA,Rana_cascadae,"max, min"
Micky,Rana,pretiosa,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,10.5,"Rombough, C.R., M.P. Hayes, and J.D. Engler. 2006. Rana pretiosa (Oregon Spotted Frog). Maximum Size. Herpetological Review 37(2):210.",max adult body length,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,1-10,"Alex Smith, M., & M. Green, D. (2005). Dispersal and the metapopulation paradigm in amphibian ecology and conservation: are all amphibian populations metapopulations?. Ecography, 28(1), 110-128.",walking,frog,Y,"Briggs, J. L. (1987). Breeding biology of the Cascade frog, Rana cascadae, with comparisons to R. aurora and R. pretiosa. Copeia, 1987(1), 241-245.",hibernates,N,no info - based on climate,,non-highland specialist,AmphibiaWeb - 40 to 620 meters,NA,terrestrial,NA,Rana_pretiosa,"max, min"
Micky,Scinax,staufferi,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,2.9,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Scinax_staufferi,min
Micky,Spea,hammondii,Scaphiopodidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,6.5,"Grismer, L. L. (2002). Amphibians and Reptiles of Baja California. The University of California Press, Berkeley",max adult SVL,insectivore,frog,N,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,"Baumberger, K. L., Eitzel, M. V., Kirby, M. E., & Horn, M. H. (2019). Movement and habitat selection of the western spadefoot (Spea hammondii) in southern California. PloS one, 14(10), e0222532.",walking,frog,N,no info - based on climate (desert),,Y,"Groff, L. A., Duffy, W. G., Kahara, S. N., & Chapin, S. J. (2012). Temporally irregular breeding of western spadefoot toads (Spea hammondii) in managed wetlands. Northwestern Naturalist, 93(1), 79-83.","remains dormant 8-10 months, emerges with warm rain",non-highland specialist,NatureServe Explorer - sea level to usually below 910 m,NA,terrestrial,NA,Spea_hammondii,"max, min"
Micky,Ambystoma,jeffersonianum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,10.4,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,insectivore,Judd (1957)  Ecology 38:77-81,NA,NA,1--10,"Bishops, S. C. 1941. The salamanders of New York. New York State Mudeum Bulletin",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,Ambystoma_jeffersonianum,max
