Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Hemachatus,haemachatus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Elapidae,120,Shine et al. (2006) Journal of Zoology 272(2): 183-193,max body length,carnivore,Shine et al. (2006) Journal of Zoology 272(2): 183-193,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,No,"Alexander, G. J., & Marshall, C. L. (1998). Diel activity patterns in a captive colony of Rinkhals, Hemachatus haemachatus. African Journal of Herpetology, 47(1), 29-32.",activty pattern does not change in winter,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2500,IUCN,NA,terrestrial,Hemachatus_haemachatus,"max, min",NA,NA
Terrestrial,Hemidactylus,frenatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,6.7,Meiri 2008,max adult SVL,insectivore,http://biostor.org/reference/114380,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Personal observation below 1000m,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1600,IUCN,NA,terrestrial,Hemidactylus_frenatus,"max, min",NA,NA
Terrestrial,Hemidactylus,turcicus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,6.1,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1565688,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Locey, K. J., & Stone, P. A. (2006). Factors affecting range expansion in the introduced Mediterranean gecko, Hemidactylus turcicus. Journal of Herpetology, 40(4), 526-530.",walking,Squamate walking tetrapod,Yes,http://fieldherping.eu/Forum/viewtopic.php?f=15&t=975,,No,no info - based on climate,,non-highland specialist,Personal observation below 1000m,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Hemidactylus_turcicus,"max, min",NA,NA
Terrestrial,Hemiergis,decresiensis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,7.9,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Karen Murphy, Simon Hudson, Glenn Shea ""Reproductive Seasonality of Three Cold-temperate Viviparous Skinks from Southeastern Australia,"" Journal of Herpetology, 40(4), 454-464, (1 December 2006)",animals collected in August were in hibernation,No,no info - based on climate,,non-highland specialist,http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Hemiergis/,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Hemiergis_decresiensis,"max, min",NA,NA
Terrestrial,Hemiergis,quadrilineatum,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,7.5,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Hemiergis_quadrilineatum,max,NA,NA
Terrestrial,Heteronotia,binoei,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,5.5,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1443783,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Bustard, H. R. (1968). The ecology of the Australian gecko Heteronotia binoei in northern New South Wales. Journal of Zoology, 156(4), 483-497.",no true hibernation,No,no info - based on climate,,non-highland specialist,http://www.arod.com.au/arod/reptilia/Squamata/Gekkonidae/Heteronotia/binoei,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Heteronotia_binoei,"max, min","Pianka found one plant item in a stomach, Pianka found one plant item in a stomach",NA
Terrestrial,Holbrookia,maculata,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,5.415,Meiri 2008,max adult SVL,insectivore,"Jones, S. M., & Ballinger, R. E. (1987). Comparative life histories of Holbrookia maculata and Sceloporus undulatus in western Nebraska. Ecology, 1828-1838.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Gennaro, A. L. (1972). Home range and movements of Holbrookia maculata maculata in eastern New Mexico. Herpetologica, 165-168.",walking,Squamate walking tetrapod,No,"Gennaro, A. L. (1974). Herpetologica, 85-90.",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2100,NatureServe Explorer,NA,terrestrial,Holbrookia_maculata,max,NA,NA
Terrestrial,Hoplodactylus,maculatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,8.9,Meiri 2008,max adult SVL,omnivore,10.1017/S0952836902001085,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Wotton, D. M. (2002). Effectiveness of the common gecko (Hoplodactylus maculatus) as a seed disperser on Mana Island, New Zealand. New Zealand Journal of Botany, 40(4), 639-647.",walking,Squamate walking tetrapod,Yes,"Tocher, M. D. (1992). The New Zealand common gecko Hoplodactylus maculatus: an ecophysiological comparsion of two isolated populations.",,No,no info - based on climate,,non-highland specialist,http://reptile-database.reptarium.cz/species?genus=Woodworthia&species=maculatus,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Hoplodactylus_maculatus,min,"Listed as a synonym of Woodwarthia maculatus on Reptile database, Changed from Hoplodactylus maculatus. Listed as a synonym of Woodwarthia maculatus on Reptile database",NA
Terrestrial,Lacerta,agilis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,11.4,Meiri 2008,max adult SVL,insectivore,"Crovetto, F., & Salvidio, S. (2013). Feeding habits of the sand lizard, Lacerta agilis, from North-Western Italian Alps. Journal of Vertebrate Biology, 62(4), 264-268.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Olsson, M., Gullberg, A., & Tegelström, H. (1997). Determinants of breeding dispersal in the sand lizard, Lacerta agilis,(Reptilia, Squamata). Biological Journal of the Linnean Society, 60(2), 243-256.",slithering,Squamate slithering tetrapod,Yes,"Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2500,IUCN,NA,terrestrial,Lacerta_agilis,"max, min",NA,NA
Terrestrial,Lacerta,schreiberi,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,13.5,Meiri 2008,max adult SVL,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2100,IUCN,NA,terrestrial,Lacerta_schreiberi,max,NA,NA
Terrestrial,Lampropeltis,zonata,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,122.5,ADW U of Michigan,max total body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2750,IUCN,NA,terrestrial,Lampropeltis_zonata,max,NA,NA
Terrestrial,Lampropholis,delicata,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,5.1,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Anderson, L., & Burgin, S. (2002). Influence of woodland remnant edges on small skinks (Richmond, New South Wales). Austral Ecology, 27(6), 630-637.",walking,Squamate walking tetrapod,Yes,"Burgin, S. (1993). Lampropholis: The new laboratory animals. Herpetology in Australia, a Diverse Discipline: Transactions of the Royal Zoological Society of NSW, 279-81.",hibernation,No,no info - based on climate,,non-highland specialist,http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Lampropholis/delicata,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lampropholis_delicata,"max, min",NA,NA
Terrestrial,Lampropholis,guichenoti,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,5.2,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Anderson, L., & Burgin, S. (2002). Influence of woodland remnant edges on small skinks (Richmond, New South Wales). Austral Ecology, 27(6), 630-637.",walking,Squamate walking tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lampropholis_guichenoti,"max, min",NA,NA
Terrestrial,Lepidophyma,flavimaculatum,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,8.24,Meiri 2008,max adult SVL,insectivore,Pianka & Vitt 2006,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1500,IUCN,NA,terrestrial,Lepidophyma_flavimaculatum,"max, min",NA,NA
Terrestrial,Lerista,frosti,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,6.8,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lerista_frosti,max,NA,NA
Terrestrial,Lerista,neander,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,8.8,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lerista_neander,max,NA,NA
Terrestrial,Lerista,orientalis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,4.9,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lerista_orientalis,max,NA,NA
Terrestrial,Lerista,terdigitata,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,7,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Lerista_terdigitata,max,NA,NA
Terrestrial,Liolaemus,abaucan,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,6.5,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,900,2600,IUCN,NA,terrestrial,Liolaemus_abaucan,"max, min",NA,NA
Terrestrial,Liolaemus,albiceps,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.4,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,3060,4020,IUCN,NA,terrestrial,Liolaemus_albiceps,"max, min",NA,NA
Terrestrial,Liolaemus,alticolor,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,5.51,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,"Ramírez-Pinilla, MP (1991). Histological study of the reproductive tracts and annual cyclical reproductive activity of males and females of two species of the genus Liolaemus (Reptilia: Sauria: Iguanidae). Unpublished doctoral dissertation. National University of Tucumán, Tucumán .",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Liolaemus_alticolor,min,NA,NA
Terrestrial,Liolaemus,bibronii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,3000,IUCN,NA,terrestrial,Liolaemus_bibronii,"max, min",NA,NA
Terrestrial,Liolaemus,bisignatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.5,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Liolaemus_bisignatus,min,I think is a synonym for Liolaemus nigromaculatus (below),NA
Terrestrial,Liolaemus,boulengeri,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7.8,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,400,1600,IUCN,NA,terrestrial,Liolaemus_boulengeri,"max, min",NA,NA
Terrestrial,Liolaemus,canqueli,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,10,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,500,1000,IUCN,NA,terrestrial,Liolaemus_canqueli,"max, min",NA,NA
Terrestrial,Liolaemus,capillitas,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.3,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,2700,3600,IUCN,NA,terrestrial,Liolaemus_capillitas,"max, min",NA,NA
Terrestrial,Liolaemus,chacoensis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,5.5,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,250,800,IUCN,NA,terrestrial,Liolaemus_chacoensis,"max, min",NA,NA
Terrestrial,Liolaemus,chiliensis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.5,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2100,IUCN,NA,terrestrial,Liolaemus_chiliensis,min,NA,NA
Terrestrial,Liolaemus,constanzae,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,6.2,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congeners + climate (andean mountains),,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1400,3900,IUCN,NA,terrestrial,Liolaemus_constanzae,min,NA,NA
Terrestrial,Liolaemus,curis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,8.7,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1520,3000,IUCN,NA,terrestrial,Liolaemus_curis,min,NA,NA
Terrestrial,Liolaemus,cuyanus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,10.2,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,250,1300,IUCN,NA,terrestrial,Liolaemus_cuyanus,"max, min",NA,NA
Terrestrial,Liolaemus,cyanogaster,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,6.2,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,800,IUCN,NA,terrestrial,Liolaemus_cyanogaster,min,NA,NA
