Genus,Species,Kingdom,Phylum,Class,Order,Family,limit_type,Tpref,n_tpref,ref_Tpref,ref_from_ref,notes_Tpref,Tb,n_Tb,ref_Tb,notes_Tb
Craugastor,fitzingeri,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,min,NA,,,,,,,,
Crinia,signifera,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Engystomops,pustulosus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,min,NA,,,,,,,,
Hyalinobatrachium,fleischmanni,Animalia,Chordata,Amphibia,Anura,Centrolenidae,min,NA,,,,,,,,
Leptodactylus,pentadactylus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,min,NA,,,,,,,,
Limnodynastes,dorsalis,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Limnodynastes,fletcheri,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Limnodynastes,tasmaniensis,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,23.6,10,Whitehead_et_al_1988,,,,,,
Limnodynastes,tasmaniensis,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,23.9,10,Whitehead_et_al_1988,,,,,,
Litoria,gracilenta,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Neobatrachus,pictus,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Philoria,frosti,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Philoria,loveridgei,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,15.4,,Lopez_2015,,,,,,
Pseudacris,triseriata,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Pseudophryne,corroboree,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Pseudophryne,dendyi,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Scinax,staufferi,Animalia,Chordata,Amphibia,Anura,Hylidae,min,NA,,,,,,,,
Ambystoma,jeffersonianum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,max,NA,,,,larvae https://www.jstor.org/stable/1445102?casa_token=7GrU-oMi0EIAAAAA%3AWsQwYkGhg6SVhd8svkcfdbCe0aAWdILLwLwUEOLrS8-1bsrG2N6Z2rHl9lhvOsBVM898SEcD7tHWLfJ71IX-y46iKjiDsOMs6h-fkNsw7pHpD5sDVg&seq=2#metadata_info_tab_contents,,,,
Ambystoma,macrodactylum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,max,NA,,,,,18.4,13,Anderson_1986,
Ambystoma,macrodactylum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,max,NA,,,,,17.7,10,Anderson_1986,
Ambystoma,maculatum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,max,NA,,,,,,,,
Desmognathus,ochrophaeus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,17.4,,Spotila_1972,,,,,,
Desmognathus,quadramaculatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,13.6,,Fontenot_and_Lutterschmidt_2011,Sievert and Andreadis 2002,,,,,
Eurycea,longicauda,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,21.7,,Spotila_1972,,,,,,
Eurycea,lucifuga,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,19.3,,Fontenot_and_Lutterschmidt_2011,Sievert and Andreadis 2002,,,,,
Eurycea,multiplicata,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,18.8,,Spotila_1972,,,,,,
Eurycea,nana,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,NA,,,,,,,,
Notophthalmus,viridescens,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,26.8,10,Berner_and_Bessay_2006,,,,,,
Notophthalmus,viridescens,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,17.2,10,Berner_and_Bessay_2006,,,,,,
Notophthalmus,viridescens,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,26.1,10,Sherman_2008,,infected,,,,
Notophthalmus,viridescens,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,14.9,9,Sherman_2008,,,,,,
Plethodon,glutinosus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,17.4,NA,Spotila_1972,,,,,,
Plethodon,glutinosus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,21.9,270,Elwood_2003,,,,,,
Pseudotriton,ruber,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,max,NA,,,,,,,,
Tlalocohyla,smithii,Animalia,Chordata,Amphibia,Anura,Hylidae,"max, min",NA,,,,,21.3,29,Lara-Resendiz_and_Luja_2018,
Cophixalus,aenigma,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,23,6,Merino-Viteri_2018,,,,,,
Cophixalus,bombiens,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,27.5,9,Merino-Viteri_2018,,,,,,
Cophixalus,exiguus,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,27.4,6,Merino-Viteri_2018,,,,,,
Cophixalus,hosmeri,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,22.2,6,Merino-Viteri_2018,,,,,,
Cophixalus,mcdonaldi,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,26.9,10,Merino-Viteri_2018,,,,,,
Cophixalus,neglectus,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,24.6,7,Merino-Viteri_2018,,,,,,
Hylarana,erythraea,Animalia,Chordata,Amphibia,Anura,Ranidae,max,NA,,,,,,,,
Kaloula,kalingensis,Animalia,Chordata,Amphibia,Anura,Microhylidae,max,NA,,,,,,,,
Limnonectes,woodworthi,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,max,NA,,,,,,,,
Occidozyga,laevis,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,max,NA,,,,,,,,
Philautus,surdus,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,max,NA,,,,,,,,
Platymantis,banahao,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,max,NA,,,,,,,,
Platymantis,corrugatus,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,max,NA,,,,,,,,
Platymantis,dorsalis,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,max,NA,,,,,,,,
Platymantis,luzonensis,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,max,NA,,,,,,,,
Cyclorana,alboguttatus,NA,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Cyclorana,brevipes,NA,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Hyla,phyllochroa,NA,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Hyla,aurea,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Hyla,caerulea,Animalia,Chordata,Amphibia,Anura,Hylidae,max,30.7,10,Tracy_and_Christian_2005,,,,,,
Hyla,chloris,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Hyla,citropa,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Hyla,lesueuri,Animalia,Chordata,Amphibia,Anura,Hylidae,max,NA,,,,,,,,
Testudo,hermanni,NA,Chordata,Archelosauria,Testudines,Testudinidae,"max, min",NA,,,,,26.32,,Huot-Daubremont_et_al_1996,
Gopherus,agassizii,NA,Chordata,Archelosauria,Testudines,Emydidae,max,26.6,,Spotila_et_al_1994,,hatchlings,,,,
Heloderma,suspectum,Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,max,25.2,,Gienger_et_al_2013,,,,,,
Heloderma,suspectum,Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,max,30.1,1,Boggert_and_del_Campo_1956,,,,,,
Heloderma,suspectum,Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,max,29.3,1,Boggert_and_del_Campo_1956,,,,,,
Heloderma,suspectum,Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,max,28.9,1,Boggert_and_del_Campo_1956,,,,,,
Agkistrodon,contortrix,Animalia,Chordata,Reptilia,Squamata,Viperidae,"max, min",25.7-27.4,15,Carter_2012,,Tpref here defined as interquantile range of temps,,,,
Agkistrodon,contortrix,Animalia,Chordata,Reptilia,Squamata,Viperidae,"max, min",26.4,35,Mueller_and_Gienger_2019,,,,,,
Ameiva,festiva,Animalia,Chordata,Reptilia,Squamata,Teiidae,"max, min",NA,,,,,35.7,,Meiri_et_al_2018,
Amphibolurus,muricatus,Animalia,Chordata,Reptilia,Squamata,Agamidae,"max, min",32.4,NA,Barquero_et_al_2019,,abstract only,,,,
Amphibolurus,muricatus,Animalia,Chordata,Reptilia,Squamata,Agamidae,"max, min",36,6,Light_et_al_1966,,abstract only,,,,
Anolis,barbouri,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",24.1,13,Autumn_and_Losos_1997,,,,,,
Anolis,carolinensis,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",32,,Licht_1966,,,,,,
Anolis,carolinensis,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",33.5,15,Ryan_and_Gunderson_2020,,different acclimation temperatures,,,,
Anolis,carolinensis,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",34.1,15,Ryan_and_Gunderson_2020,,different acclimation temperatures,,,,
Anolis,carolinensis,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",36.3,15,Ryan_and_Gunderson_2020,,different acclimation temperatures,,,,
Anolis,cooki,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",30.6,,Huey_and_Webster_1976,,,,,,
Anolis,cristatellus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",29,,Huey_and_Webster_1976,,different populations,,,,
Anolis,cristatellus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",29.6,,Huey_and_Webster_1976,,different populations,,,,
Anolis,cristatellus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",29.6,,Huey_and_Webster_1976,,different populations,,,,
Anolis,cristatellus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",30,,Adams_1987,"Huey, 1983",can't find Huey paper to make sure not duplicated,,,,
Anolis,gundlachi,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",25.1,,Huey_and_Webster_1976,,,,,,
Anolis,gundlachi,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",24.3-26.1,7,Hertz_et_al_1993,,range of Tset point given,,,,
Anolis,lionotus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,"max, min",NA,,,,,26.2,,Meiri_et_al_2018,
Austrelaps,superbus,Animalia,Chordata,Reptilia,Squamata,Elapidae,"max, min",32.8,4,Lillywhite_1980,,,,,,
Bassiana,duperreyi,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",34.23,NA,Du_et_al_2010,,hatchlings,,,,
Acanthodactylus,erythrurus,Animalia,Chordata,Reptilia,Squamata,Lacertidae,max,37.15,9,Bauwens_and_Garland_1995,,median Tb,,,,
Acontias,meleagris,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,28.1,18,Withers_1981,,,,,,
Chamaeleo,dilepis,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,"max, min",32.8,6,Bennett_2014,,,,,,
Chamaeleo,jacksonii,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,"max, min",32.1,7,Bennett_2014,,,,,,
Coleonyx,brevis,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,"max, min",31.8,10,Dial_and_Grismer_1992,,,,,,
Anniella,pulchra,Animalia,Chordata,Reptilia,Squamata,Anniellidae,max,23.6,96,Bury_and_Balgooyen_1976,,,,,,
Anniella,pulchra,Animalia,Chordata,Reptilia,Squamata,Anniellidae,max,24.9,48,Bury_and_Balgooyen_1976,,,,,,
Coleonyx,variegatus,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,"max, min",32.8,13,Dial_and_Grismer_1992,,,,,,
Coleonyx,variegatus,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,"max, min",28.6,18,Vance_1973,,also has multiple acclimation temperatures,,,,
Cophosaurus,texanus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",37.9,33,Sartorius_2002,,,,,,
Cordylus,cordylus,Animalia,Chordata,Reptilia,Squamata,Cordylidae,"max, min",32.1,12,Clusella-Trullas_et_al_2007,,,,,,
Cordylus,niger,Animalia,Chordata,Reptilia,Squamata,Cordylidae,"max, min",32.6,10,Clusella-Trullas_et_al_2007,,,,,,
Anolis,cybotes,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,30.2,17,Munoz_2014,,,,,,
Anolis,cybotes,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,29.3,19,Munoz_2014,,,,,,
Anolis,cybotes,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,29.4,21,Munoz_2014,,,,,,
Anolis,cybotes,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,30.7,23,Munoz_2014,,,,,,
Anolis,evermanni,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,24.5,,Meiri_et_al_2018,
Anolis,frenatus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,26.9,,Hertz_et_al_2018,
Cordylus,oelofseni,Animalia,Chordata,Reptilia,Squamata,Cordylidae,"max, min",33.6,10,Clusella-Trullas_et_al_2007,,,,,,
Cordylus,oelofseni,Animalia,Chordata,Reptilia,Squamata,Cordylidae,"max, min",31.57,14,Basson_and_Clusella-Trullas_2015,,,,,,
Cordylus,oelofseni,Animalia,Chordata,Reptilia,Squamata,Cordylidae,"max, min",33.6,14,Basson_and_Clusella-Trullas_2015,,,,,,
Anolis,krugi,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,28.7,,Meiri_et_al_2018,
Ctenophorus,decresii,Animalia,Chordata,Reptilia,Squamata,Agamidae,"max, min",35.9,40,Walker_et_al_2015,,,,,,
Anolis,marcanoi,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,35.7,,Meiri_et_al_2018,
Anolis,oculatus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,27.4,,Meiri_et_al_2018,
Anolis,pulchellus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,32.7,,Meiri_et_al_2018,
Anolis,roquet,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,26.5,,Meiri_et_al_2018,
Anolis,semilineatus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,31.5,,Meiri_et_al_2018,
Anolis,shrevei,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,NA,,,,,29.2,,Meiri_et_al_2018,
Anolis,stratulus,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,max,30,,Clusella-Trullas_et_al_2011,,,30,,Meiri_et_al_2018,
Anomalopus,brevicollis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Anomalopus,leuckartii,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Arizona,elegans,Animalia,Chordata,Reptilia,Squamata,Colubridae,max,26.3,,Clusella-Trullas_et_al_2011,,,,,,
Ctenotus,regius,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",35.6,13,Bennett_and_John-Alder_1986,,,,,,
Basiliscus,vittatus,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,max,NA,,,,,36.2,,Meiri_et_al_2018,
Ctenotus,taeniolatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",35.3,6,Bennett_and_John-Alder_1986,,,,,,
Bassiana,platynota,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Calyptotis,temporalis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Carlia,longipes,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,30.8,,Meiri_et_al_2018,
Carlia,munda,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,3,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.1961,
Carlia,pectoralis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Carlia,rhomboidalis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,28.9,,Meiri_et_al_2018,
Carlia,vivax,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,30.5,,Meiri_et_al_2018,
Ctenotus,uber,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",35.3,6,Bennett_and_John-Alder_1986,,,,,,
Dipsosaurus,dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",38.5,19,Bradshaw_1988,De Witt 1967,,,,,
Dipsosaurus,dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",38.6,7,Pianka_1971,,,,,,
Dipsosaurus,dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",38.8,20,Crowley_1985,Licht 1964a cited in Dawson 1967,,,,,
Dipsosaurus,dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",40,,Adams_1987,"Norris, 1953",,,,,
Charina,bottae,Animalia,Chordata,Reptilia,Squamata,Boidae,max,27.4,19,Dorcas_and_Peterson_1997,,,,,,
Chionactis,occipitalis,Animalia,Chordata,Reptilia,Squamata,Colubridae,max,NA,,,,,,,,
Chondrodactylus,angulifer,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,max,NA,,,,,25.6,,Meiri_et_al_2018,
Chondrodactylus,bibronii,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,max,NA,,,,,29.8,,Meiri_et_al_2018,
Egernia,cunninghami,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",32.5,10,Wilson_1974,,,,,,
Egernia,cunninghami,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",33.3,5,Light_et_al_1966,,,,,,
Egernia,saxatilis,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",33.5,,Clusella-Trullas_et_al_2011,,,,,,
Coluber,constrictor,Animalia,Chordata,Reptilia,Squamata,Colubridae,max,29,43,Howey_2014,,,,,,
Coluber,constrictor,Animalia,Chordata,Reptilia,Squamata,Colubridae,max,31.5,6,Kitchell_1969,,,,,,
Egernia,striolata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",32.7,6,Bennett_and_John-Alder_1986,,,,,,
Elgaria,multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,"max, min",30,NA,Licht_1964,,,,,,
Elgaria,multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,"max, min",26.2,12,Crowley_1985,Bennett 1980,,,,,
Eremias,argus,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.86,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,argus,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",36.1,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,argus,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.53,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,argus,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.3,21,Li_et_al_2017,,,,,,
Eremias,brenchleyi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",36.5,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,brenchleyi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",37.14,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,brenchleyi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.65,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,brenchleyi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",33.5,16,Xu_and_Ji_2006,,different ages,,,,
Eremias,brenchleyi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",31.7,17,Xu_and_Ji_2006,,different ages,,,,
Crotalus,atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,max,NA,,,,,29.3,8,Taylor_et_al_2003,mean across summer months only 
Crotalus,cerastes,Animalia,Chordata,Reptilia,Squamata,Viperidae,max,NA,,,,,25.8,37,Moore_1978,
Crotalus,scutulatus,Animalia,Chordata,Reptilia,Squamata,Viperidae,max,NA,,,,,25,38,Cardwell_2007,
Crotalus,viridis,Animalia,Chordata,Reptilia,Squamata,Viperidae,max,30.7,10,Gier_et_al_1989,,,,,,
Crotalus,viridis,Animalia,Chordata,Reptilia,Squamata,Viperidae,max,28.5,10,Gier_et_al_1989,,,,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,33,9,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,30.5,9,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,31.8,9,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,34.1,6,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,34.3,6,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Crotaphytus,collaris,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,max,32.9,6,Sievert_and_Hutchison_1989,,"male vs female, different light treatments",,,,
Cryptoblepharus,litoralis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Cryptoblepharus,plagiocephalus,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,32.6,,Meiri_et_al_2018,
Cryptoblepharus,virgatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Ctenophorus,cristatus,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,NA,,,,,NA,,,
Eremias,multiocellata,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",34.63,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,multiocellata,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.64,12,Li_et_al_2009,,different acclimation temperatures,,,,
