"range","sensitivity_type","limit_type","genus_species","source","realm","dormancy","filling_type","filling_value","lat_mp","range_area_km2","edge_type","type","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_ability_category","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","metric","dispersal_distance_continuous","abs_lat_mp","log_maximum_body_size","dispersal_ability_category_general","rr_cells","log_range_area"
"Adelotus_brevis_IUCN","Te","tmax","Adelotus_brevis","IUCN","Terrestrial","none","warm_over",1.0349712371826,-27.7921963864999,479050,"warm","max","Adelotus","brevis","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Myobatrachidae",5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).  A Field Guide to Australian Frogs.  Surrey Beatty and Sons, New South Wales.",NA,"insectivore","Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51","Non-migratory","frog migrations are not far enough to affect accuracy of realized range/experienced climate","0-1","no info - guess since frogs are highly dependent on water availability","walking","Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51","No","no info","","No","no info","","non-highland specialist","Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,400,"Amphibia Web",NA,"terrestrial",NA,NA,"ct",1,27.7921963864999,1.6094379124341,"walking",52,3.95124371858143
"Adelotus_brevis_IUCN","acclimatized","tmax","Adelotus_brevis","IUCN","Terrestrial","none","warm_under",-4.42263,-27.7921963864999,479050,"warm","max","Adelotus","brevis","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Myobatrachidae",5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).  A Field Guide to Australian Frogs.  Surrey Beatty and Sons, New South Wales.",NA,"insectivore","Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51","Non-migratory","frog migrations are not far enough to affect accuracy of realized range/experienced climate","0-1","no info - guess since frogs are highly dependent on water availability","walking","Katsikaros,K. and Shine,R. 1997. Sexual dimorphism in the tusked frog, Adelotus brevis (Anura:Myobatrachidae):the roles of natural and sexual selection. Biological Journal of Linnean Society. 60:39-51","No","no info","","No","no info","","non-highland specialist","Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,400,"Amphibia Web",NA,"terrestrial",NA,NA,"ct",1,27.7921963864999,1.6094379124341,"walking",52,3.95124371858143
"Agkistrodon_contortrix_IUCN","Te","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","cold_over",16.8515496253967,35.4443343135,2316042,"cold","min","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agkistrodon_contortrix_IUCN","Te_tpref","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","cold_over",16.8515496253967,35.4443343135,2316042,"cold","min","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agkistrodon_contortrix_IUCN","Te_tpreftb","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","cold_over",16.8515496253967,35.4443343135,2316042,"cold","min","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agkistrodon_contortrix_IUCN","Te","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","warm_under",-1.9450454711914,35.4443343135,2316042,"warm","max","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agkistrodon_contortrix_IUCN","Te_tpref","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","warm_under",-1.9450454711914,35.4443343135,2316042,"warm","max","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agkistrodon_contortrix_IUCN","Te_tpreftb","tmax, tmin","Agkistrodon_contortrix","IUCN","Terrestrial","cold","warm_under",-1.9450454711914,35.4443343135,2316042,"warm","max","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,NA,10,35.4443343135,4.90527477843843,"slithering",274,5.61312810638807
"Agroeca_proxima_GBIF","acclimatized","tmax, tmin","Agroeca_proxima","GBIF","Terrestrial","cold","cold_over",2.70352842529297,58.2217643426921,1939661,"cold","min","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,10,58.2217643426921,-1.04982212449868,"walking",328,5.79301360838414
"Agroeca_proxima_GBIF","Te","tmax, tmin","Agroeca_proxima","GBIF","Terrestrial","cold","cold_over",5.86633968353274,58.2217643426921,1939661,"cold","min","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,10,58.2217643426921,-1.04982212449868,"walking",328,5.79301360838414
"Agroeca_proxima_GBIF","acclimatized","tmax, tmin","Agroeca_proxima","GBIF","Terrestrial","cold","warm_under",-15.5060438830566,58.2217643426921,1939661,"warm","max","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,10,58.2217643426921,-1.04982212449868,"walking",328,5.79301360838414
"Agroeca_proxima_GBIF","Te","tmax, tmin","Agroeca_proxima","GBIF","Terrestrial","cold","warm_under",-11.6223316192627,58.2217643426921,1939661,"warm","max","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,10,58.2217643426921,-1.04982212449868,"walking",328,5.79301360838414
