"range","species","source","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","range_area_km2","lat_mp","ctmax","ctmin","limit_type","metric","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","log_range_area","log_maximum_body_size","abs_lat_mp","dispersal_distance_continuous","prop_unoccupied"
"Anolis_cristatellus_GARD","Anolis_cristatellus","GARD","Te",0,85,0,85,NA,NA,"Terrestrial",9439,18.3201332092285,37.1,8.9,"tmax, tmin","ct","Anolis","cristatellus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7.8,"Meiri 2008","max adult SVL","insectivore","10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,549,"Animal Diversity",NA,"terrestrial",NA,NA,-Inf,2.05412373369555,18.3201332092285,1,1
"Anolis_cupreus_GARD","Anolis_cupreus","GARD","Te",5,74,16,85,0.0983606557377049,0.269230769230769,"Terrestrial",119269,12.6334208137196,38.4,11.8,"tmax, tmin","ct","Anolis","cupreus","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",5.7,"Meiri 2008","max adult SVL","insectivore","10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","IUCN Redlist",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1800,"IUCN",NA,"terrestrial",NA,"Y",2.77258872223978,1.7404661748405,12.6334208137196,1,0.870588235294118
"Anolis_gundlachi_GARD","Anolis_gundlachi","GARD","acclimatized",0,81,0,81,NA,NA,"Terrestrial",6382,18.2442308321046,39.6283721033732,6.3,"tmax, tmin","ct","Anolis","gundlachi","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7.5,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Nicholson, K. E., & Richards, P. M. (2011). Home-range size and overlap within an introduced population of the Cuban Knight Anole, Anolis equestris (Squamata: Iguanidae). Phyllomedusa: Journal of Herpetology, 10(1), 65-73.","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",240,1200,"IUCN",NA,"terrestrial",NA,NA,-Inf,2.01490302054226,18.2442308321046,1,1
"Anolis_gundlachi_GARD","Anolis_gundlachi","GARD","Te",0,65,0,65,NA,NA,"Terrestrial",6382,18.2442308321046,35.7,6.3,"tmax, tmin","ct","Anolis","gundlachi","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7.5,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Nicholson, K. E., & Richards, P. M. (2011). Home-range size and overlap within an introduced population of the Cuban Knight Anole, Anolis equestris (Squamata: Iguanidae). Phyllomedusa: Journal of Herpetology, 10(1), 65-73.","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",240,1200,"IUCN",NA,"terrestrial",NA,NA,-Inf,2.01490302054226,18.2442308321046,1,1
"Anolis_humilis_GARD","Anolis_humilis","GARD","Te",1,57,9,65,0.0576923076923077,0.384615384615385,"Terrestrial",65157,8.87777278201004,35.6,12.4,"tmax, tmin","ct","Anolis","humilis","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",4.5,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","IUCN Redlist",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,2000,"IUCN",NA,"terrestrial",NA,"Y",2.19722457733622,1.50407739677627,8.87777278201004,1,0.876923076923077
"Anolis_intermedius_GARD","Anolis_intermedius","GARD","Te",0,82,3,85,0.0303030303030303,0.0526315789473684,"Terrestrial",4835,10.3250985260093,38.4,11.1,"tmax, tmin","ct","Anolis","intermedius","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",5.4,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","No","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"",NA,"terrestrial",NA,"Y",1.09861228866811,1.68639895357023,10.3250985260093,1,0.964705882352941
"Anolis_lemurinus_GARD","Anolis_lemurinus","GARD","Te",12,954,57,999,0.547169811320755,0.0169133192389006,"Terrestrial",477488,13.6113918075859,37.3,12.9,"tmax, tmin","ct","Anolis","lemurinus","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7.9,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","IUCN Redlist",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1100,"IUCN",NA,"terrestrial",NA,"Y",4.04305126783455,2.06686275947298,13.6113918075859,1,0.954954954954955
"Anolis_limifrons_GARD","Anolis_limifrons","GARD","Te",7,1003,22,1018,0.0740740740740741,0.0124352331606218,"Terrestrial",211406,11.5941038133903,36.8,12.3,"tmax, tmin","ct","Anolis","limifrons","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",5.1,"Meiri 2008","max adult SVL","insectivore","10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","IUCN Redlist",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1550,"IUCN",NA,"terrestrial",NA,"Y",3.09104245335832,1.62924053973028,11.5941038133903,1,0.985265225933202
"Anolis_lionotus_IUCN","Anolis_lionotus","IUCN","Te",0,63,5,68,0.0655737704918033,0.285714285714286,"Terrestrial",25674,8.36645942300004,36.7,14.7,"tmax, tmin","ct","Anolis","lionotus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",8.5,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,805,"IUCN",NA,"terrestrial",NA,NA,1.6094379124341,2.14006616349627,8.36645942300004,1,0.926470588235294
"Anolis_tropidolepis_GARD","Anolis_tropidolepis","GARD","Te",2,32,4,34,0.0416666666666667,0.1,"Terrestrial",6104,10.1904175014915,33.1,9.5,"tmax, tmin","ct","Anolis","tropidolepis","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",5.9,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","highland specialist","IUCN Redlist",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1220,2506,"IUCN",NA,"terrestrial",NA,"Y",1.38629436111989,1.77495235091167,10.1904175014915,1,0.941176470588235
"Austrelaps_superbus_IUCN","Austrelaps_superbus","IUCN","Te",4,632,27,655,0.285714285714286,0.0323574730354391,"Terrestrial",206108,-39.633471389,41.2,3,"tmax, tmin","ct","Austrelaps","superbus","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Elapidae",7.3,"Shine (1987) Journal of Herpetology 21(1): 21-28","mean SVL","carnivore","Dowde (2012) Australian Journal of Zoology 60(3): 159-165","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Shine, R. (1979). Activity patterns in australian elapid snakes (Squamata: Serpentes: Elapidae). Herpetologica, 1-11.","slithering","Squamate slithering tetrapod","Yes","Fitzgerald, M., Shine, R., & Lemckert, F. (2003). A reluctant heliotherm: thermal ecology of the arboreal snake Hoplocephalus stephensii (Elapidae) in dense forest. Journal of Thermal Biology, 28(6-7), 515-524.","inactive in the winter","No","no info - based on climate","","non-highland specialist","Shine, R. (1979). Activity patterns in australian elapid snakes (Squamata: Serpentes: Elapidae). Herpetologica, 1-11.",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,3.29583686600433,1.98787434815435,39.633471389,1,0.964885496183206
"Barbatia_pistachia_GBIF","Barbatia_pistachia","GBIF","Te",30,2802,39,2811,0.0457516339869281,0.000752445447705041,"Intertidal",571175,-35.1577057380651,36.87,6.01,"tmax, tmin","lt","Barbatia","pistachia","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Pteriomorpha","Arcidae",4.482,"Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","10-100","guessed - planktonic larval stage in genus thought to be ~1 month (Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87)","pelagic development and sessile adults","planktonic larval stage in genus - Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,NA,NA,NA,"https://collections.museumsvictoria.com.au/species/15783",NA,NA,"intertidal","benthic",NA,NA,NA,3.66356164612965,1.50006937537874,35.1577057380651,100,0.996798292422625
"Bassiana_duperreyi_GARD","Bassiana_duperreyi","GARD","Te",6,618,45,657,0.454545454545455,0.0569230769230769,"Terrestrial",337965,-38.709453526715,43.5,3,"tmax, tmin","ct","Bassiana","duperreyi","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",8,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Carthew, S. M., Horner, B., & Jones, K. M. (2009). Do utility corridors affect movements of small terrestrial fauna?. Wildlife Research, 36(6), 488-495.","walking","Squamate walking tetrapod","Yes","no info - based on climate","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial","Bassiana is listed as a synonym for Acritoscincus on Reptile Database, Bassiana is listed as a synonym for Acritoscincus on Reptile Database & IUCN",NA,3.80666248977032,2.07944154167984,38.709453526715,1,0.940639269406393
"Cerastoderma_edule_GBIF","Cerastoderma_edule","GBIF","acclimatized",57,4816,125,4884,0.0272536687631027,0.00839849406313351,"Intertidal",1730158,49.4578045850014,45.20932,-18.78335,"tmax, tmin","lt","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,4.8283137373023,0.598836501088704,49.4578045850014,1000,0.986076986076986
"Cerastoderma_edule_GBIF","Cerastoderma_edule","GBIF","Te",73,4283,125,4335,0.0177304964539007,0.00916808149405773,"Intertidal",1730158,49.4578045850014,33.98,-6.18,"tmax, tmin","lt","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,4.8283137373023,0.598836501088704,49.4578045850014,1000,0.98800461361015
